"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "CSS", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\App.js", "JavaScript", 0, 0, 182, 0, 0, 0, 0, 0, 26, 208
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\components\SideBar.jsx", "JavaScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 23, 176
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\Dashboard.jsx", "JavaScript JSX", 0, 129, 0, 0, 0, 0, 0, 0, 32, 161
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\blogs\BlogPostList.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 14, 123
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\products\AddProduct.jsx", "JavaScript JSX", 0, 208, 0, 0, 0, 0, 0, 6, 33, 247
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\products\OrderList.jsx", "JavaScript JSX", 0, 113, 0, 0, 0, 0, 0, 1, 21, 135
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\products\ProcessOrder.jsx", "JavaScript JSX", 0, 154, 0, 0, 0, 0, 0, 3, 30, 187
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\products\ProductList.jsx", "JavaScript JSX", 0, 111, 0, 0, 0, 0, 0, 1, 22, 134
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\products\ReviewList.jsx", "JavaScript JSX", 0, 127, 0, 0, 0, 0, 0, 3, 24, 154
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\products\UpdateProduct.jsx", "JavaScript JSX", 0, 235, 0, 0, 0, 0, 0, 5, 39, 279
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\rentalbikes\RentalBikeDetail.jsx", "JavaScript JSX", 0, 104, 0, 0, 0, 0, 0, 2, 24, 130
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\rentalbikes\RentalBikesList.jsx", "JavaScript JSX", 0, 134, 0, 0, 0, 0, 0, 1, 19, 154
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\usedbike\UsedBikeDetail.jsx", "JavaScript JSX", 0, 106, 0, 0, 0, 0, 0, 2, 27, 135
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\usedbike\UsedBikesList.jsx", "JavaScript JSX", 0, 113, 0, 0, 0, 0, 0, 0, 16, 129
