"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\order\order.slice.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 1, 3, 71
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\order\order.thunk.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 3, 3, 36
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\product\product.initialstate.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\product\product.service.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 7, 9, 52
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\product\product.slice.js", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 10, 14, 175
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\product\product.thunk.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 7, 8, 72
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\review\review.initialstate.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\review\review.service.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 3, 14
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\review\review.slice.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\review\review.thunk.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 3, 15
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\workshop\workshop.initialstate.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\workshop\workshop.service.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 6, 8, 49
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\workshop\workshop.slice.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 6, 74
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\workshop\workshop.thunk.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 6, 8, 71
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\index.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 2, 2, 18
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\AboutUs.jsx", "JavaScript JSX", 0, 0, 93, 0, 0, 0, 0, 1, 11, 105
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\AddProduct.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 0, 0, 8, 80
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\ContactUs.jsx", "JavaScript JSX", 0, 0, 208, 0, 0, 0, 0, 2, 19, 229
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\HomePage.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\admin\Dashboard.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 1, 3, 30
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\blog\Blogs.jsx", "JavaScript JSX", 0, 0, 206, 0, 0, 0, 0, 3, 31, 240
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\blog\CreateBlogPost.jsx", "JavaScript JSX", 0, 0, 157, 0, 0, 0, 0, 2, 22, 181
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\blog\GetSingleBlog.jsx", "JavaScript JSX", 0, 0, 135, 0, 0, 0, 0, 5, 25, 165
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\blog\MyBlogs.jsx", "JavaScript JSX", 0, 0, 133, 0, 0, 0, 0, 5, 22, 160
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\payment\Payment.jsx", "JavaScript JSX", 0, 0, 149, 0, 0, 0, 0, 2, 33, 184
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\payment\PaymentSuccess.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\products\Cart.jsx", "JavaScript JSX", 0, 0, 110, 0, 0, 0, 0, 2, 17, 129
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\products\ConfirmOrder.jsx", "JavaScript JSX", 0, 0, 104, 0, 0, 0, 0, 2, 22, 128
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\products\FeaturedProductsPage.jsx", "JavaScript JSX", 0, 0, 166, 0, 0, 0, 0, 5, 39, 210
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\products\MyOrders.jsx", "JavaScript JSX", 0, 0, 108, 0, 0, 0, 0, 0, 18, 126
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\products\OrderDetails.jsx", "JavaScript JSX", 0, 0, 73, 0, 0, 0, 0, 1, 12, 86
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\products\ProductDetail.jsx", "JavaScript JSX", 0, 0, 240, 0, 0, 0, 0, 14, 56, 310
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\products\Shipping.jsx", "JavaScript JSX", 0, 0, 168, 0, 0, 0, 0, 0, 15, 183
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\shared\CardLoading.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 0, 4, 72
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\shared\ErrorPage.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 11, 45
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\shared\Loader.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\shared\Modal.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 0, 0, 0, 3, 52
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\user\EditProfile.jsx", "JavaScript JSX", 0, 0, 144, 0, 0, 0, 0, 7, 25, 176
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\user\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 95, 0, 0, 0, 0, 3, 16, 114
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\user\LoginForm.jsx", "JavaScript JSX", 0, 0, 126, 0, 0, 0, 0, 4, 19, 149
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\user\Register.jsx", "JavaScript JSX", 0, 0, 175, 0, 0, 0, 0, 22, 24, 221
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\user\ResetPassword.jsx", "JavaScript JSX", 0, 0, 115, 0, 0, 0, 0, 1, 15, 131
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\user\UpdatePassword.jsx", "JavaScript JSX", 0, 0, 129, 0, 0, 0, 0, 0, 20, 149
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\user\UserProfile.jsx", "JavaScript JSX", 0, 0, 63, 0, 0, 0, 0, 0, 15, 78
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\workshop\CreateWorkshop.jsx", "JavaScript JSX", 0, 0, 393, 0, 0, 0, 0, 1, 24, 418
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\workshop\MyWorkshopAppointments.jsx", "JavaScript JSX", 0, 0, 111, 0, 0, 0, 0, 1, 18, 130
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\workshop\MyWorkshops.jsx", "JavaScript JSX", 0, 0, 40, 0, 0, 0, 0, 5, 11, 56
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\workshop\UpdateWorkshop.jsx", "JavaScript JSX", 0, 0, 380, 0, 0, 0, 0, 2, 26, 408
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\workshop\WorkshopDetail.jsx", "JavaScript JSX", 0, 0, 320, 0, 0, 0, 0, 36, 44, 400
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\workshop\Workshops.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 1, 21, 97
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\tailwind.config.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 8, 4, 30
"e:\fyp_bikezone\fyp_bikezone\package-lock.json", "JSON", 2212, 0, 0, 0, 0, 0, 0, 0, 1, 2213
"e:\fyp_bikezone\fyp_bikezone\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"Total", "-", 35124, 3289, 5495, 25, 0, 38, 106, 398, 1609, 46084
